# Edges Betweenness Centrality, Cumulative Propability
0.000001,0.002308
0.000001,0.002770
0.000001,0.004617
0.000001,0.005540
0.000002,0.006464
0.000002,0.006925
0.000002,0.007387
0.000002,0.008772
0.000003,0.009234
0.000004,0.009695
0.000004,0.010619
0.000005,0.011080
0.000006,0.011542
0.000006,0.012465
0.000006,0.012927
0.000006,0.013389
0.000007,0.013850
0.000007,0.014312
0.000009,0.014774
0.000009,0.015235
0.000010,0.015697
0.000010,0.016159
0.000012,0.016620
0.000013,0.017082
0.000014,0.017544
0.000015,0.018006
0.000017,0.018467
0.000018,0.018929
0.000018,0.019391
0.000018,0.019852
0.000019,0.020314
0.000023,0.020776
0.000023,0.021237
0.000031,0.021699
0.000035,0.022161
0.000040,0.022622
0.000042,0.023084
0.000042,0.023546
0.000047,0.024007
0.000048,0.024469
0.000065,0.024931
0.000067,0.025392
0.000078,0.025854
0.000082,0.026316
0.000086,0.026777
0.000090,0.027239
0.000091,0.027701
0.000099,0.028163
0.000106,0.028624
0.000110,0.029086
0.000113,0.029548
0.000114,0.030009
0.000114,0.030471
0.000115,0.030933
0.000124,0.031394
0.000137,0.031856
0.000141,0.032318
0.000152,0.032779
0.000153,0.033241
0.000154,0.033703
0.000167,0.034164
0.000171,0.034626
0.000176,0.035088
0.000181,0.035549
0.000192,0.036011
0.000193,0.036473
0.000197,0.036934
0.000197,0.037396
0.000199,0.037858
0.000211,0.038319
0.000218,0.038781
0.000219,0.039243
0.000219,0.039705
0.000225,0.040166
0.000238,0.040628
0.000248,0.041090
0.000250,0.041551
0.000257,0.042013
0.000280,0.042475
0.000289,0.042936
0.000321,0.043398
0.000327,0.043860
0.000331,0.044321
0.000347,0.044783
0.000361,0.045245
0.000378,0.045706
0.000397,0.046168
0.000397,0.046630
0.000409,0.047091
0.000411,0.047553
0.000416,0.048015
0.000428,0.048476
0.000440,0.048938
0.000442,0.049400
0.000450,0.049861
0.000455,0.050323
0.000455,0.050785
0.000475,0.051247
0.000476,0.051708
0.000480,0.052170
0.000484,0.052632
0.000485,0.053093
0.000501,0.053555
0.000502,0.054017
0.000518,0.054478
0.000529,0.054940
0.000531,0.055402
0.000533,0.055863
0.000536,0.056325
0.000538,0.056787
0.000539,0.057248
0.000539,0.057710
0.000539,0.058172
0.000540,0.058633
0.000541,0.060480
0.000541,0.061404
0.000541,0.061865
0.000541,0.062789
0.000543,0.063250
0.000546,0.063712
0.000546,0.064174
0.000546,0.064635
0.000548,0.065097
0.000549,0.065559
0.000552,0.066020
0.000557,0.066482
0.000560,0.066944
0.000561,0.067405
0.000564,0.067867
0.000564,0.068329
0.000576,0.068790
0.000581,0.069252
0.000584,0.069714
0.000597,0.070175
0.000599,0.070637
0.000599,0.071099
0.000612,0.071560
0.000613,0.072022
0.000623,0.072484
0.000627,0.072946
0.000632,0.073407
0.000639,0.073869
0.000640,0.074331
0.000644,0.074792
0.000664,0.075254
0.000709,0.075716
0.000713,0.076177
0.000713,0.076639
0.000713,0.077101
0.000735,0.077562
0.000744,0.078024
0.000750,0.078486
0.000759,0.078947
0.000761,0.079409
0.000761,0.079871
0.000762,0.080332
0.000769,0.080794
0.000769,0.081256
0.000772,0.081717
0.000776,0.082179
0.000780,0.082641
0.000785,0.083102
0.000796,0.083564
0.000799,0.084026
0.000800,0.084488
0.000813,0.084949
0.000816,0.085411
0.000824,0.085873
0.000829,0.086334
0.000833,0.086796
0.000834,0.087258
0.000847,0.087719
0.000847,0.088181
0.000857,0.088643
0.000863,0.089104
0.000863,0.089566
0.000865,0.090028
0.000868,0.090489
0.000868,0.090951
0.000869,0.091413
0.000871,0.091874
0.000893,0.092336
0.000894,0.092798
0.000897,0.093259
0.000901,0.093721
0.000905,0.094183
0.000908,0.094645
0.000915,0.095106
0.000916,0.095568
0.000916,0.096030
0.000917,0.096491
0.000930,0.096953
0.000951,0.097415
0.000951,0.097876
0.000959,0.098338
0.000959,0.098800
0.000962,0.099261
0.000965,0.099723
0.000970,0.100185
0.000972,0.100646
0.000975,0.101108
0.000978,0.101570
0.000979,0.102031
0.000984,0.102493
0.000986,0.102955
0.000992,0.103416
0.001001,0.103878
0.001003,0.104340
0.001003,0.104801
0.001007,0.105263
0.001010,0.105725
0.001025,0.106187
0.001029,0.106648
0.001034,0.107110
0.001047,0.107572
0.001051,0.108033
0.001052,0.108495
0.001054,0.108957
0.001058,0.109418
0.001059,0.109880
0.001059,0.110342
0.001064,0.110803
0.001070,0.111265
0.001071,0.111727
0.001072,0.112188
0.001072,0.112650
0.001073,0.113112
0.001075,0.113573
0.001076,0.114035
0.001079,0.114497
0.001079,0.115420
0.001080,0.115882
0.001080,0.116343
0.001080,0.117267
0.001080,0.117729
0.001080,0.118190
0.001080,0.119114
0.001081,0.119575
0.001081,0.121884
0.001081,0.122345
0.001082,0.124654
0.001082,0.225300
0.001082,0.225762
0.001083,0.226223
0.001091,0.226685
0.001097,0.227147
0.001105,0.227608
0.001107,0.228070
0.001112,0.228532
0.001123,0.228994
0.001146,0.229455
0.001152,0.229917
0.001171,0.230379
0.001174,0.230840
0.001177,0.231302
0.001178,0.231764
0.001181,0.232225
0.001182,0.232687
0.001185,0.233149
0.001187,0.233610
0.001188,0.234072
0.001190,0.234534
0.001200,0.234995
0.001200,0.235457
0.001202,0.235919
0.001219,0.236380
0.001232,0.236842
0.001233,0.237304
0.001235,0.237765
0.001237,0.238227
0.001246,0.238689
0.001249,0.239151
0.001254,0.239612
0.001258,0.240074
0.001263,0.240536
0.001265,0.240997
0.001272,0.241459
0.001272,0.241921
0.001278,0.242382
0.001279,0.242844
0.001286,0.243306
0.001286,0.243767
0.001297,0.244229
0.001300,0.244691
0.001310,0.245152
0.001315,0.245614
0.001325,0.246076
0.001327,0.246537
0.001349,0.246999
0.001380,0.247461
0.001382,0.247922
0.001383,0.248384
0.001398,0.248846
0.001401,0.249307
0.001414,0.249769
0.001441,0.250231
0.001459,0.250693
0.001461,0.251154
0.001473,0.251616
0.001473,0.252078
0.001473,0.252539
0.001476,0.253001
0.001479,0.253463
0.001479,0.253924
0.001487,0.254386
0.001490,0.254848
0.001498,0.255309
0.001516,0.255771
0.001519,0.256233
0.001527,0.256694
0.001530,0.257156
0.001539,0.257618
0.001549,0.258079
0.001558,0.258541
0.001564,0.259003
0.001566,0.259464
0.001568,0.259926
0.001577,0.260388
0.001584,0.260849
0.001595,0.261311
0.001605,0.261773
0.001607,0.262235
0.001607,0.262696
0.001615,0.263158
0.001620,0.263620
0.001621,0.264543
0.001621,0.265928
0.001623,0.266390
0.001624,0.266851
0.001625,0.267313
0.001629,0.267775
0.001632,0.268236
0.001635,0.268698
0.001639,0.269160
0.001658,0.269621
0.001659,0.270083
0.001665,0.270545
0.001670,0.271006
0.001672,0.271468
0.001676,0.271930
0.001677,0.272392
0.001682,0.272853
0.001694,0.273315
0.001704,0.273777
0.001708,0.274238
0.001722,0.274700
0.001733,0.275162
0.001739,0.275623
0.001747,0.276085
0.001765,0.276547
0.001766,0.277008
0.001774,0.277470
0.001782,0.277932
0.001784,0.278393
0.001790,0.278855
0.001791,0.279317
0.001819,0.279778
0.001830,0.280240
0.001832,0.280702
0.001839,0.281163
0.001843,0.281625
0.001850,0.282087
0.001857,0.282548
0.001860,0.283010
0.001875,0.283472
0.001881,0.283934
0.001889,0.284395
0.001890,0.284857
0.001924,0.285319
0.001927,0.285780
0.001929,0.286242
0.001930,0.286704
0.001937,0.287165
0.001944,0.287627
0.001944,0.288089
0.001965,0.288550
0.001968,0.289012
0.001999,0.289474
0.002010,0.289935
0.002012,0.290397
0.002021,0.290859
0.002033,0.291320
0.002037,0.291782
0.002040,0.292244
0.002048,0.292705
0.002050,0.293167
0.002055,0.293629
0.002055,0.294090
0.002058,0.294552
0.002061,0.295014
0.002063,0.295476
0.002068,0.295937
0.002071,0.296399
0.002072,0.296861
0.002072,0.297322
0.002076,0.297784
0.002093,0.298246
0.002099,0.298707
0.002102,0.299169
0.002120,0.299631
0.002125,0.300092
0.002126,0.300554
0.002130,0.301016
0.002140,0.301477
0.002150,0.301939
0.002156,0.302401
0.002157,0.302862
0.002158,0.303324
0.002159,0.304247
0.002160,0.305633
0.002160,0.306094
0.002160,0.306556
0.002160,0.307479
0.002161,0.307941
0.002161,0.309326
0.002162,0.350877
0.002162,0.351801
0.002172,0.352262
0.002173,0.352724
0.002175,0.353186
0.002183,0.353647
0.002205,0.354109
0.002218,0.354571
0.002254,0.355032
0.002265,0.355494
0.002267,0.355956
0.002274,0.356417
0.002278,0.356879
0.002284,0.357341
0.002310,0.357802
0.002311,0.358264
0.002316,0.358726
0.002317,0.359187
0.002318,0.359649
0.002319,0.360111
0.002322,0.360572
0.002328,0.361034
0.002342,0.361496
0.002397,0.361958
0.002400,0.362419
0.002401,0.362881
0.002406,0.363343
0.002408,0.363804
0.002419,0.364266
0.002436,0.364728
0.002442,0.365189
0.002442,0.365651
0.002451,0.366113
0.002457,0.366574
0.002465,0.367036
0.002472,0.367498
0.002472,0.367959
0.002477,0.368421
0.002477,0.368883
0.002500,0.369344
0.002503,0.369806
0.002518,0.370268
0.002521,0.370729
0.002529,0.371191
0.002530,0.371653
0.002594,0.372114
0.002618,0.372576
0.002639,0.373038
0.002664,0.373500
0.002669,0.373961
0.002673,0.374423
0.002681,0.374885
0.002684,0.375346
0.002685,0.375808
0.002687,0.376270
0.002693,0.376731
0.002696,0.377193
0.002697,0.377655
0.002701,0.378116
0.002706,0.378578
0.002723,0.379040
0.002732,0.379501
0.002733,0.379963
0.002737,0.380425
0.002740,0.380886
0.002748,0.381348
0.002750,0.381810
0.002768,0.382271
0.002781,0.382733
0.002787,0.383195
0.002788,0.383657
0.002800,0.384118
0.002823,0.384580
0.002823,0.385042
0.002826,0.385503
0.002840,0.385965
0.002847,0.386427
0.002861,0.386888
0.002864,0.387350
0.002874,0.387812
0.002875,0.388273
0.002884,0.388735
0.002890,0.389197
0.002925,0.389658
0.002941,0.390120
0.002945,0.390582
0.002947,0.391043
0.002951,0.391505
0.002961,0.391967
0.002971,0.392428
0.002988,0.392890
0.002993,0.393352
0.002995,0.393813
0.002998,0.394275
0.002998,0.394737
0.003000,0.395199
0.003017,0.395660
0.003026,0.396122
0.003034,0.396584
0.003041,0.397045
0.003052,0.397507
0.003062,0.397969
0.003090,0.398430
0.003092,0.398892
0.003094,0.399354
0.003101,0.399815
0.003104,0.400277
0.003105,0.400739
0.003118,0.401200
0.003120,0.401662
0.003153,0.402124
0.003164,0.402585
0.003187,0.403047
0.003207,0.403509
0.003218,0.403970
0.003220,0.404432
0.003227,0.404894
0.003229,0.405355
0.003234,0.405817
0.003234,0.406741
0.003237,0.407664
0.003238,0.408126
0.003239,0.408587
0.003239,0.409049
0.003240,0.410434
0.003241,0.410896
0.003241,0.436750
0.003255,0.437211
0.003255,0.437673
0.003266,0.438135
0.003266,0.438596
0.003272,0.439058
0.003283,0.439520
0.003304,0.439982
0.003329,0.440443
0.003333,0.440905
0.003334,0.441367
0.003336,0.441828
0.003338,0.442290
0.003353,0.442752
0.003353,0.443213
0.003362,0.443675
