edge,bet_cen_edge
'(57970, 29975)',0.0010250614331971046
'(18427, 54548)',0.0010816657652785288
'(75477, 52503)',0.001081665765278529
'(74956, 28613)',0.018088538166958937
'(49215, 25814)',0.001081665765278529
'(52800, 79171)',0.10050441261128631
'(57561, 23427)',2.048609403936608e-06
'(16529, 53029)',0.001081665765278529
'(75880, 56013)',0.01290272734296531
'(54036, 46314)',0.010763979125255492
'(52383, 22003)',0.017431947577410598
'(55984, 55987)',0.002162160896611951
'(16767, 53243)',0.045837238364364305
'(52477, 52480)',0.005396622486941578
'(75474, 52966)',0.09589221345953639
'(52334, 56768)',0.007852559398718137
'(18476, 54600)',0.001414246120844282
'(54179, 54180)',0.03809956058457805
'(18447, 53054)',0.04360015258377331
'(18026, 74078)',0.003241485394000267
'(75513, 24932)',0.0016771379873056454
'(22047, 55282)',0.0023109452192740464
'(55868, 57277)',0.009666825454799643
'(16397, 52495)',0.001081665765278529
'(75462, 52340)',0.001076397912525549
'(57688, 58291)',0.022558143083233898
'(52568, 53242)',0.006315203423898493
'(22375, 56506)',0.0003468978590665991
'(54077, 46314)',0.021136951949381904
'(75416, 52249)',0.03541054750711684
'(53264, 51904)',0.023595639232469955
'(57737, 79317)',0.005198555404265055
'(53742, 53743)',0.01823596418261499
'(57842, 57844)',0.004705798878324582
'(20409, 55815)',0.003241485394000267
'(52420, 16361)',0.00778930071791061
'(75624, 76393)',0.001081665765278529
'(77346, 54892)',0.03028462696188525
'(55867, 20444)',0.0016207426970001335
'(75462, 52335)',0.006933079539894033
'(17163, 53395)',0.0019992288588247774
'(52525, 56966)',0.00011302825477563682
'(51907, 53272)',0.015659617539802016
'(52607, 55501)',0.0011998148107378005
'(57561, 57593)',0.002160697604180568
'(52897, 55925)',3.1021799545325773e-05
'(75490, 54614)',0.008226548522944393
'(54206, 54207)',0.003153288810593921
'(9375, 75445)',0.001081665765278529
'(53167, 55962)',0.0016068901953163715
'(58373, 18677)',0.001081665765278529
'(54058, 55432)',4.2142822023838786e-05
'(3427, 79884)',0.07753403792250706
'(58280, 24553)',0.02477571398658095
'(52802, 79884)',0.07788725720487724
'(52310, 20043)',0.013758016420337431
'(52563, 52564)',0.0037958446731528755
'(58794, 54077)',0.020543030817332057
'(17929, 16308)',0.09268516549602791
'(75537, 62442)',0.0034406069763019465
'(55503, 55850)',0.006980100003355817
'(57435, 23134)',0.001081665765278529
'(52744, 53818)',0.0016582594245230409
'(195, 53742)',0.01922807645109285
'(58442, 58443)',0.029565405418071265
'(54845, 54846)',0.0037206551335810393
'(75586, 52543)',0.022570846672580937
'(75459, 56201)',0.00019234491246389567
'(25984, 24524)',0.001081665765278529
'(16429, 75452)',0.0010968193936523587
'(54318, 54394)',0.0043196392574434755
'(54574, 54575)',0.0012019971795526152
'(57920, 29975)',0.0034389086280069803
'(53503, 78369)',0.013973174532936903
'(62969, 24554)',0.008620548371765246
'(24669, 18632)',0.004402830916197254
'(75639, 37258)',0.0009864346938441044
'(18542, 53241)',0.004273606674737885
'(53091, 53092)',0.0016234267934028077
'(9604, 14843)',0.02889849490976455
'(52843, 64640)',0.04038412008635902
'(52799, 79171)',0.10027328494641066
'(52971, 79354)',0.004319708938035445
'(17935, 51916)',0.004326718341050417
'(52420, 55815)',0.008848724438232066
'(16610, 52947)',0.005396622486941578
'(51836, 51837)',0.0017218464487258412
'(66034, 66395)',0.0018501479291095303
'(51956, 21949)',0.007503599141936469
'(53886, 53887)',0.002162160896611951
'(54608, 54611)',9.267518732094178e-06
'(53354, 56031)',0.010763979125255492
'(55280, 56938)',0.09084034675102205
'(75643, 55256)',0.001081665765278529
'(29066, 14224)',0.0023996825240740877
'(57970, 58372)',0.03254533781652635
'(53410, 53412)',0.0024772272676544934
'(58158, 58387)',0.03436193952544449
'(58169, 24366)',5.706840482394836e-06
'(52367, 52368)',0.0043196392574434755
'(54019, 80108)',5.853169725533165e-07
'(16523, 52252)',0.006614415749925973
'(17180, 53640)',0.004313786087717943
'(51816, 51817)',0.009515867794473812
'(75434, 16119)',0.18964039638260152
'(53764, 53784)',0.0008294348507204776
'(74078, 52086)',0.0043196392574434755
'(58282, 32547)',0.023569141579359517
'(61702, 61703)',0.16682849093247296
'(75454, 55349)',0.0487418351956396
'(54057, 55432)',0.0021200180745881126
'(74863, 51897)',0.0043196392574434755
'(54547, 54553)',0.013110202351005478
'(52300, 52305)',0.031544560675479415
'(55880, 19099)',0.000626972030433361
'(18073, 54217)',0.004862787393885285
'(77286, 23960)',0.07791694743592209
'(74847, 51836)',0.001081665765278529
'(75513, 54845)',0.02097162652820136
'(16548, 17320)',0.003493191202764058
'(2492, 2493)',0.008345935300659843
'(56257, 76392)',0.00015440661735956492
'(52360, 20607)',0.00620799592356699
'(57860, 75490)',0.10671869558526431
'(19612, 55761)',0.001081665765278529
'(16537, 52808)',0.038660703966164875
'(18022, 52617)',0.003665757375677815
'(75624, 54338)',0.002162160896611951
'(54452, 55586)',0.12349891242051299
'(54026, 68211)',0.012288048306291623
'(24892, 56154)',0.008620548371765246
'(52336, 52338)',0.04732728979259245
'(16409, 79297)',0.015429710987506383
'(17180, 53413)',0.031766129486905006
'(57692, 33308)',0.00018063139055181157
'(58047, 58375)',0.10191071724643325
'(58032, 23370)',0.005396622486941579
'(52514, 56967)',0.001186841017339092
'(16409, 52512)',0.0033375882329862872
'(17169, 16339)',0.005162124997170969
'(16779, 16379)',0.0826393178728241
'(54528, 54529)',0.002162160896611951
'(53691, 54242)',4.097218807873216e-06
'(69209, 71196)',0.0061247372902321455
'(52518, 52519)',0.0011816476594735115
'(75475, 75536)',0.03850570365797872
'(57592, 57593)',1.4632924313832913e-06
'(51932, 51933)',0.0037378372273331397
'(17776, 17777)',0.0005425888335569244
'(24597, 55275)',0.036331884004417156
'(57736, 54001)',0.0007797411538816155
'(52672, 78927)',0.0324784878329733
'(16593, 52517)',0.0020497507720330863
'(53500, 53501)',0.025456508217459872
'(17881, 75537)',0.0039313822507440685
'(24892, 20759)',0.007547077044102463
'(75520, 52411)',0.005552216247186502
'(58281, 55843)',0.014815835867755825
'(51867, 52645)',0.003241485394000267
'(75440, 24960)',0.0030523304590367867
'(57915, 58372)',0.03971425961339804
'(54080, 46314)',0.16212282886037704
'(58290, 56617)',0.00028929779132591467
'(52701, 52912)',0.001081665765278529
'(17175, 27429)',0.01415134137698722
'(62970, 56795)',0.010763979125255492
'(52627, 78717)',4.2064779760831685e-05
'(18274, 78037)',0.001081665765278529
'(26509, 16165)',0.001081665765278529
'(62967, 57121)',0.005396622486941578
'(52977, 16286)',0.11156304470813444
'(77809, 54893)',0.010763979125255492
'(18338, 55397)',0.00914733364706323
'(74863, 52246)',0.001832334782578182
'(66033, 66063)',0.003820480943250008
'(54036, 54037)',0.009692849065482921
'(57843, 75844)',0.04306260505547231
'(53037, 53084)',0.0150367930248947
'(25084, 52033)',0.0020678411739724913
'(52383, 16339)',0.00014099310340521805
'(52543, 18376)',0.006897956557973419
'(54560, 54561)',0.0043196392574434755
'(16610, 64238)',0.0043196392574434755
'(75538, 52676)',0.008373614289939714
'(53705, 53706)',0.008620548371765246
'(61583, 55019)',0.006472435082494574
'(57592, 23427)',0.001080787789819699
'(51808, 52140)',0.040021515517364895
'(58304, 54845)',0.02537622454421109
'(53998, 54000)',0.0007719912784426519
'(33615, 54412)',0.014261680811306434
'(57899, 79113)',0.0780002770622479
'(58503, 16185)',0.0010793244973883156
'(58328, 58329)',0.002476671216530599
'(77444, 54403)',0.0010810804483059756
'(55761, 57277)',0.009314074426007509
'(75434, 52655)',0.1304734672725512
'(57808, 54000)',0.00015191762661437362
'(24583, 75903)',0.001081665765278529
'(55961, 55963)',0.008052986014046047
'(57774, 57775)',0.10058985194503804
'(57120, 57121)',0.0043196392574434755
'(74814, 52267)',0.11201056691645402
'(17468, 55892)',0.03272024415697419
'(58377, 54194)',0.00023802890217168205
'(57900, 79113)',0.07792886839159639
'(75626, 54556)',0.035542661992006154
'(18369, 77187)',0.002162160896611951
'(54781, 68211)',0.012640747306908399
'(17207, 54242)',5.853169725533165e-06
'(52450, 52452)',0.009692849065482921
'(16393, 52482)',0.0006435625148442888
'(17214, 53727)',0.002162160896611951
'(16441, 52572)',0.0032414853940002666
'(75626, 54337)',0.03629960059024896
'(78916, 62772)',0.011538474027367638
'(16544, 16234)',0.003241485394000267
'(53514, 53515)',0.007882439977974137
'(55799, 55807)',0.001123192610869338
'(55503, 19099)',0.017166176171043667
'(1045, 16096)',0.0034524317727593653
'(56024, 56026)',0.014510323402678344
'(75475, 52482)',0.0007846108981858037
'(58462, 75588)',0.06688240213292757
'(19166, 79387)',0.002162160896611951
