edge,bet_cen_edge
'(6263, 7063)',0.002466091245376079
'(6813, 1109)',0.002466091245376079
'(6922, 6073)',0.0025613449909015515
'(6638, 6639)',0.023183747489367256
'(7132, 5371)',0.002466091245376079
'(6753, 3936)',0.007380006393569896
'(6883, 3407)',0.0034392091495813906
'(6144, 6395)',0.004926093376566044
'(6634, 6662)',0.004278541564014459
'(6646, 6768)',0.01334514254137948
'(6726, 3952)',0.002466091245376079
'(6937, 6938)',0.018049343179499428
'(6757, 6927)',0.000653590293951988
'(17, 7093)',0.0023960774083718064
'(7063, 7102)',0.002466091245376079
'(6746, 7035)',0.002466091245376079
'(6853, 4838)',0.002466091245376079
'(6761, 6762)',0.004270962681703879
'(4844, 7026)',0.002258514298273057
'(6898, 6899)',0.002466091245376079
'(6911, 3292)',0.0019607913941948447
'(7007, 5567)',0.002466091245376079
'(6852, 4674)',0.002466091245376079
'(6865, 7055)',0.0035160068157032193
'(6673, 6674)',0.0011191948944593592
'(6728, 6729)',0.012776658254537278
'(6862, 7182)',0.019856225909618663
'(6789, 6884)',0.0024600021311899653
'(6816, 7124)',0.0018328088721293262
'(6765, 6766)',0.004497389889264666
'(6767, 6768)',0.004926093376566044
'(6736, 7036)',0.005673086326381527
'(6772, 6907)',0.004926093376566044
'(6653, 6769)',0.003291695390613055
'(6678, 7138)',0.002466091245376079
'(2422, 6703)',0.002466091245376079
'(6741, 7103)',0.002466091245376079
'(6844, 7009)',0.0024615244097364935
'(803, 6982)',0.003278987989222247
'(6701, 6740)',0.002466091245376079
'(3549, 7143)',0.002466091245376079
'(7110, 7111)',8.474017242341671e-05
'(6124, 6125)',0.0019671814685837574
'(6876, 7113)',0.002466091245376079
'(6909, 6928)',0.002466091245376079
'(6637, 6639)',0.003533107021256085
'(7125, 6080)',0.0021474784801414487
'(6718, 6838)',0.00641682254146479
'(6929, 7107)',0.0007225603855279157
'(7113, 7114)',0.02365361710648476
'(6815, 7061)',0.002466091245376079
'(2225, 6791)',0.002466091245376079
'(5723, 5930)',0.0030432928148876924
'(6785, 6884)',0.004920004262379931
'(6969, 6970)',0.015858610636758225
'(6635, 6962)',0.00616697915965508
'(6908, 6886)',0.003090970217257731
'(6971, 6972)',0.012177330833902015
'(6798, 6799)',0.0055786579447354954
'(6651, 6842)',0.015172157645314582
'(290, 294)',0.0024660912453760794
'(6771, 6694)',0.008123813080083378
'(7061, 1915)',0.0014140579931220065
'(6702, 6937)',0.003089665793689174
'(6974, 3292)',0.010108139657688878
'(203, 6689)',0.006140871656695743
'(6885, 6978)',0.008892705126154763
'(5943, 6674)',0.0011676473892494824
'(6705, 6706)',0.007892334956042857
'(7059, 7060)',0.026933355942469324
'(6763, 6921)',0.023635183896747295
'(6732, 6998)',0.009827830296387634
'(6776, 6777)',0.027819299224945433
'(6686, 6993)',0.002466091245376079
'(6750, 6762)',0.03094805547710503
'(6711, 7035)',0.0012545606679022258
'(6877, 7130)',0.004014720254752568
'(6742, 6741)',0.000836194854553529
'(6660, 7069)',0.08444055775144893
'(6774, 6796)',0.004926093376566044
'(6728, 6731)',0.03184212241895144
'(6750, 7071)',0.01966801295774006
'(6640, 7115)',0.004658640378871825
'(7130, 7131)',0.008307261408783304
'(5623, 5624)',0.002466091245376079
'(7200, 5498)',0.007380006393569896
'(6754, 6982)',0.01986160780416653
'(6677, 5211)',0.002466091245376079
'(6893, 6894)',0.0018007108929985823
'(6887, 6886)',0.010648777158761334
'(6905, 5363)',0.0012340604750523919
'(6080, 6093)',0.0030707219676030604
'(6966, 2564)',0.001481917030157862
'(6659, 6660)',0.011438872726171792
'(6756, 7146)',0.004926093376566044
'(6912, 7093)',0.0023260525952314977
'(6739, 2771)',0.0024660912453760785
'(6723, 7053)',0.056959497628474166
'(7150, 7204)',0.00980414590109384
'(3016, 7151)',0.002466091245376079
'(6760, 6761)',0.0019895745666399186
'(6864, 7158)',0.0008563103027228699
'(6655, 7062)',0.08145236426148303
'(6935, 6944)',0.0007910085626447339
'(6845, 7021)',0.002466091245376079
'(6429, 6931)',0.004524864671782457
'(6880, 7113)',0.0024600021311899653
'(6828, 7202)',0.004330646941715846
'(6786, 7078)',0.007950900158099641
'(6660, 7131)',0.00048222346290518315
'(6979, 7062)',0.002466091245376079
'(6866, 1740)',0.0012340604750523919
'(6786, 6836)',0.0020958731028603594
'(7149, 7203)',0.00293960357731381
'(6631, 6632)',0.010002727829399387
'(6686, 6765)',0.0021013234570289195
'(6788, 3936)',0.002466091245376079
'(6840, 6802)',0.0076358852465168575
'(6989, 7061)',0.006496999580715055
'(6724, 6725)',0.0021484130207189245
'(6793, 6794)',0.009510837711391228
'(6878, 4042)',0.002466091245376079
'(6705, 663)',0.006140871656695743
'(340, 6884)',0.009839780695154671
'(6743, 6744)',0.002209770674299137
'(1437, 6820)',0.0011961414272233105
'(6716, 7116)',0.04997763041655368
'(6673, 6973)',0.000941255684277159
'(6691, 6698)',0.002466091245376079
'(6718, 6968)',0.0024189006104336974
'(6563, 6760)',0.002463046688283022
'(6504, 6760)',0.004988759192074721
'(5699, 5776)',0.0009919448300604661
'(6776, 6893)',0.0015834448406866356
'(6847, 6849)',0.004926093376566044
'(6982, 7064)',0.007063940978266949
'(6644, 6810)',0.010456726026632349
'(6669, 6711)',0.001211530577473853
'(6821, 6827)',0.0008826078753466071
'(6860, 7162)',0.028150244496879435
'(6628, 6766)',0.03181707135346313
'(6713, 6819)',0.038337576155975925
'(6786, 6919)',0.002466091245376079
'(7088, 7146)',0.007380006393569896
'(6708, 6709)',0.009247295127928684
'(452, 6817)',0.005629951204002476
'(427, 6914)',0.002466091245376079
'(6726, 6858)',0.0022650503047667307
'(6791, 6887)',0.10011985296212242
'(6659, 7157)',0.002466091245376079
'(6700, 7194)',0.11888734491871171
'(7016, 3440)',0.0024660912453760794
'(7203, 7204)',0.019655236870560554
'(6723, 6735)',0.057887552140093605
'(6976, 7009)',0.00931306103929541
'(6839, 6980)',0.001301838115100202
'(6772, 6841)',0.002466091245376079
'(6954, 7175)',0.0020992555395334175
'(4493, 7194)',0.002831846434575828
'(7171, 5776)',0.0021097539667763038
'(6770, 6771)',0.005792500274983963
'(6766, 6999)',0.004240493536401663
'(6637, 7168)',0.002441596220812481
'(6660, 4032)',0.002466091245376079
'(6670, 7051)',0.005283156323872813
'(6624, 5078)',3.0445570930568877e-06
'(6654, 5313)',0.002466091245376079
'(6702, 7178)',0.002466091245376079
'(6632, 6672)',0.017627725159835798
'(6742, 6769)',0.0009599705982772161
'(6646, 6951)',0.019951732922002793
'(4174, 7087)',0.004243658115805876
'(7086, 7087)',0.004926093376566044
'(6794, 1238)',0.0015927807280235354
'(6175, 6080)',0.0033253990338834934
'(6144, 6922)',0.006139000256392124
'(6634, 6792)',0.0038030581866218363
'(5622, 5623)',0.007380006393569896
'(7035, 7039)',0.002466091245376079
'(625, 6779)',0.017146741273776227
'(6691, 6883)',0.013437782208334616
'(6933, 5074)',0.012269565085019257
'(6808, 6812)',0.0035311600003898823
'(6984, 6986)',0.0035813079716354094
'(6721, 3292)',0.010567771152474283
'(6626, 6714)',0.026609490606823473
'(6627, 6628)',0.01833468696729576
