node,degree
24578,1
16391,1
16392,1
16393,3
16397,1
57358,3
57359,3
24597,6
24601,2
24604,2
16419,1
16424,4
24583,7
16429,3
16436,2
16440,7
16441,2
16445,1
49215,2
16452,2
24647,2
24650,2
24653,2
16467,1
24660,4
57435,4
24669,3
16479,1
16480,1
77840,2
16500,1
16502,2
16512,4
16517,1
16523,4
16527,5
16529,1
16531,1
16409,10
16537,3
16539,1
16543,2
16544,2
16548,6
16552,1
53276,2
16565,5
16566,1
16569,2
195,4
16587,1
16588,2
24781,1
16593,2
57561,3
16606,2
24799,3
8416,2
16609,2
16610,2
16624,1
16626,2
24821,1
57592,3
57593,3
16663,1
53296,2
16689,2
16692,5
51934,3
24892,2
19483,1
16727,5
57688,2
57689,2
57692,3
57693,3
74078,2
24927,3
24932,2
16447,2
24957,4
24958,2
24959,1
24960,5
16774,2
57736,3
57737,3
57738,3
16779,2
16787,1
24984,2
24985,1
16800,2
16801,2
53318,3
57772,2
57773,2
57774,2
57775,2
16835,4
25036,1
57808,3
57809,3
16852,2
66008,2
57820,2
57822,2
16867,3
57830,2
57834,2
57835,2
66033,2
57842,3
57843,3
57844,3
57845,3
16887,3
57848,3
57850,2
25083,4
25084,3
57854,3
8706,2
57860,2
16903,4
33289,1
66063,2
16916,1
25111,2
16924,1
16927,1
57889,2
57890,2
16475,2
57892,2
57894,2
57897,3
57899,2
57900,2
16941,3
16946,1
57914,2
57915,2
57917,2
57918,3
57919,3
57920,3
57935,2
57937,2
16978,1
16979,2
49748,3
79127,2
16993,1
16996,1
17008,3
57970,3
17015,2
25221,1
17039,3
17040,2
17056,1
58030,2
58032,3
58041,3
58044,2
58045,2
58047,2
17097,2
17103,2
17122,1
17123,3
25324,1
17137,2
58101,2
17150,4
128,2
17154,2
17163,2
58126,3
58128,2
17169,3
58131,2
17175,2
58137,2
58138,1
17180,7
17190,3
17191,1
58153,2
66346,3
17196,1
58158,2
58164,2
17207,2
58169,3
58170,3
58171,3
58174,2
58175,3
77225,2
17220,3
58181,2
58184,2
58185,2
58187,2
58188,2
17229,2
58190,2
33615,2
53391,2
17248,1
17250,1
17259,1
53394,2
53395,2
17271,4
17280,1
66441,2
58250,3
17295,2
17320,2
58281,3
58282,2
58283,3
58284,3
58290,3
58291,2
58292,2
17333,3
58294,2
58295,2
58304,3
58309,3
58310,3
58311,3
58321,3
58323,2
58325,2
58327,3
58328,3
58329,3
58330,2
58333,2
58336,2
66531,2
58340,2
58346,2
58347,2
58351,3
58353,2
58355,3
58366,2
58367,2
9216,1
58371,2
58372,3
58373,2
58375,2
58377,3
58378,3
58382,3
58387,3
1045,2
58390,2
17460,1
17468,2
74814,4
74824,4
58442,2
58443,2
58444,2
58445,2
58451,2
74839,4
17935,3
58462,2
74847,1
58469,2
58470,2
58471,2
74863,3
74864,1
58481,3
58482,3
58483,3
58503,2
74903,4
74908,1
9375,1
71196,2
74934,1
52085,4
74956,3
58578,3
58579,2
58580,2
56507,3
25814,1
74976,2
58625,3
58626,4
58627,3
61654,2
17673,2
58635,3
75024,2
58649,3
75044,2
58667,3
75056,3
58674,3
1334,2
17719,1
75078,1
75081,3
25944,1
58715,1
75102,2
17776,6
17777,2
17780,1
17781,2
17782,1
17783,2
75130,5
25984,1
9604,2
17802,2
58150,3
17814,1
52422,2
58794,2
58795,2
58796,2
17837,2
75200,5
17859,2
17881,2
17893,2
17904,2
17929,2
58154,2
52141,3
75300,2
75312,1
67141,2
20748,1
18022,3
18024,2
18026,2
26222,2
34417,2
18039,1
26237,1
18053,2
53527,2
20760,1
59030,2
18071,1
75416,2
18073,2
75420,2
75422,1
75428,1
75434,6
75438,3
75440,6
75442,5
75443,1
75444,1
75445,4
75448,1
75449,4
18107,2
75452,2
75453,6
75454,4
18112,1
75457,2
75459,5
75460,1
75462,7
16673,4
75471,2
75473,4
75474,3
75475,3
75476,3
75477,1
75481,1
75482,1
75483,3
75485,3
75486,7
75488,2
75490,9
75492,2
75494,1
75495,2
75496,1
75497,1
75498,4
75504,1
75510,3
75513,4
75514,2
75519,3
9984,1
42755,2
75535,2
75536,2
75537,3
75538,2
75541,2
75546,2
75549,2
75554,2
75556,5
75557,2
75558,2
75559,2
59176,2
59177,2
18220,2
75567,4
75568,2
75570,1
75571,2
75575,2
75586,6
75588,5
75591,1
18251,2
75600,4
75603,2
75604,1
75607,1
75613,2
18274,5
75619,1
75620,1
75624,2
75626,2
18283,2
75635,1
75636,2
75637,3
75639,2
75640,3
75641,3
75643,5
26501,1
26509,1
75666,5
75667,5
75668,2
75671,1
75674,1
18338,3
75684,2
75685,1
75693,1
75695,2
75697,2
75706,1
18365,1
18369,2
75714,2
18376,5
75724,2
75728,1
75731,3
18390,2
75736,2
75742,2
75746,2
18403,1
75748,1
75751,1
18414,2
18417,1
75764,1
18427,1
75773,2
18433,1
75781,1
57687,3
75790,1
18447,2
75813,1
75814,3
75816,2
75818,1
18476,6
24926,1
75834,2
75844,6
16740,2
75880,2
75883,4
18542,2
75903,1
51328,3
75906,2
75914,1
18571,2
75922,1
75923,3
75927,3
75938,1
75939,2
18619,2
75970,1
75974,2
18632,2
18634,3
75996,1
18653,2
35049,2
18666,2
18677,1
65919,2
65920,2
76065,1
37258,2
76107,1
76123,2
76125,4
76134,2
18791,1
67993,2
18845,1
2492,2
2493,3
18886,3
57761,2
76242,2
76264,2
75618,2
76283,3
75520,4
76290,2
16812,1
16813,1
18968,1
30365,2
19005,2
51808,2
51809,2
51810,2
51813,3
19046,1
51815,3
51816,3
51817,3
18194,1
76403,2
51829,3
51830,2
51836,3
51837,3
51839,3
51840,3
51841,3
2700,2
51856,3
51857,3
25027,5
51862,2
51867,2
51870,2
51871,2
51872,2
51873,2
51874,2
51875,2
51876,2
51877,2
51885,2
51892,3
51897,2
51902,2
51904,3
51905,3
51907,3
51916,2
16767,4
76499,1
51931,2
51932,3
51933,3
19166,2
51936,2
51937,2
51938,3
51939,2
51940,3
51944,2
51946,2
51949,3
51951,2
51952,2
51954,2
51955,2
51956,3
51959,2
51960,3
51970,2
51988,2
19224,2
51996,2
51997,2
52000,2
52001,2
27429,3
52006,3
76593,1
16862,7
52028,2
2878,2
52033,3
52036,2
52037,2
19273,2
52042,2
52045,2
52046,2
52057,2
52059,2
52064,2
52067,2
52071,2
19317,2
52086,3
52087,2
52095,2
11150,2
52120,2
52125,1
52127,2
19360,1
52137,2
52138,2
52140,3
66034,2
52142,3
52150,3
52152,2
52163,2
52171,3
52172,1
60368,2
52188,2
52189,2
52190,3
52191,2
52199,3
52201,2
52203,3
52204,3
52205,3
52213,2
52214,2
52215,3
52218,3
19456,2
52230,2
52231,2
52234,3
52235,3
75417,1
52246,3
52247,2
52248,2
52249,3
52250,3
52251,3
52252,3
52255,3
52261,2
52267,3
19520,3
52296,3
52300,2
52301,3
52303,2
52305,3
52306,3
52307,3
52308,3
52309,3
52310,3
52311,2
52312,2
52314,3
52319,2
52320,2
52322,3
52323,2
52324,2
52325,2
52326,3
52327,2
52328,2
52329,2
52330,2
52331,2
52332,2
52334,2
52335,3
52336,2
52337,3
52338,2
52339,2
52340,2
52341,2
52347,2
52350,2
52351,3
52352,3
75627,5
52359,3
52360,3
52361,3
52362,3
19595,3
19597,2
52367,3
52368,3
52374,2
19612,1
52383,3
52387,3
52388,3
