node,degree
6144,3
4098,1
5,1
17,3
4115,1
2071,1
6175,2
6182,2
2737,1
6835,2
4149,1
2102,1
56,1
2116,3
2123,1
4174,2
6097,2
4181,1
4188,1
2144,3
2551,3
108,2
6263,1
122,1
4220,1
2187,3
2756,2
5597,3
173,2
2225,1
3103,1
203,3
206,1
2766,2
6367,2
2274,1
4326,1
6383,2
4337,2
2771,1
6388,2
246,1
248,3
6394,1
6395,2
4349,1
4350,3
4351,1
6404,3
2327,3
4378,3
6429,2
290,1
294,3
6447,2
6460,3
6463,2
6464,2
6198,2
1421,1
340,2
4438,1
4449,1
4453,3
6504,2
6888,1
2422,3
6889,2
6892,2
4493,3
2457,3
6555,2
6556,2
6558,2
6559,2
6562,2
6563,2
6564,2
6566,3
6568,3
427,2
3485,1
2481,1
4538,3
449,3
2498,3
424,2
452,2
6597,2
6599,2
457,2
2506,1
469,2
470,2
6624,2
6625,1
6626,2
6627,3
6628,5
6629,2
6630,1
6631,2
6632,3
6633,2
6634,9
6635,6
6636,1
6637,3
6638,7
6639,7
6640,4
6641,1
6642,1
6643,2
6644,5
4597,2
6646,3
4599,1
6648,2
6649,3
6650,4
6651,3
6652,6
6653,7
6654,11
6655,2
6656,2
6657,8
6658,4
6659,5
6660,10
6661,1
6662,2
6663,1
6664,2
6665,3
6666,6
6667,5
4620,1
6669,5
6670,4
6671,1
6672,3
6673,3
6674,3
6676,1
6677,2
6678,4
6679,2
6680,2
6681,3
6682,2
6683,2
6684,2
6685,5
6686,4
6687,2
6688,2
6689,3
6690,2
6691,5
4644,1
6693,5
4646,1
6696,1
6697,2
6698,1
6699,2
6700,5
6701,2
6702,3
6703,1
6704,1
6705,7
6706,3
6707,6
6708,3
6709,4
6710,2
6711,2
6712,2
6713,3
6714,5
6715,2
6716,2
6717,3
6718,5
6719,5
6720,2
6721,5
6722,4
6723,5
6724,4
6725,2
6726,5
6727,5
6728,7
6729,2
6730,2
6731,2
6732,3
6733,2
6734,2
6735,3
6736,5
6737,2
6738,6
6739,10
6740,1
6926,1
6742,3
6743,4
6744,3
6745,1
6746,1
6747,1
6748,2
6749,3
6750,3
6751,2
6752,1
6753,3
6754,2
6755,2
6756,2
6757,4
6758,5
6759,1
6760,6
6761,2
6762,5
6763,2
6764,1
6765,2
6766,5
6767,2
6768,4
625,3
6770,2
6771,3
6772,2
6773,2
6774,2
6775,2
6776,4
6777,8
6778,4
6779,9
6780,2
6781,2
6782,2
6783,2
6784,2
6785,3
6786,5
6787,4
6788,1
6789,2
4742,1
6791,8
6792,2
6793,7
6794,5
6795,7
6796,2
6797,5
6798,2
6799,2
6800,5
6936,2
4754,1
6803,2
6804,2
6805,1
6806,6
6807,2
6808,5
6809,3
6810,6
6811,6
6812,3
6813,5
6814,2
6815,1
6816,4
6817,4
6818,2
6939,1
6820,3
6821,3
6822,1
6823,1
2728,1
6825,2
6826,5
6827,2
6828,5
6829,2
6830,2
6831,2
6832,2
6833,3
6834,2
4787,1
6836,2
6837,3
6838,4
6839,2
6840,3
6841,1
6842,3
6843,4
6844,2
6845,1
6846,2
6847,2
6848,3
6849,2
6851,2
6852,5
6853,4
6854,4
6855,1
6856,2
6857,1
6858,3
6859,3
6860,3
6861,7
6862,6
6863,2
6864,3
6865,5
6866,2
6867,1
6869,2
6870,5
6871,1
6872,2
6873,2
6874,3
6875,1
6876,1
6877,5
6878,3
6879,1
6880,2
6882,3
6883,4
6884,5
6885,3
4838,1
6887,4
4840,1
4841,2
6891,2
4844,3
6893,3
6894,3
6895,2
6896,3
6897,2
6898,4
6899,1
6900,1
6901,5
6902,1
6903,1
6904,2
6905,2
6906,3
6907,2
6908,3
6909,1
6910,2
6911,3
6912,2
6913,1
6914,1
6915,4
6916,4
6917,1
6918,1
6919,1
6921,3
6922,4
6923,3
6924,6
4878,3
6927,2
6928,3
6929,2
6930,2
6931,4
6932,8
6933,6
6934,3
6935,8
792,1
6937,8
6938,6
2843,2
6940,1
6941,2
6942,3
6943,3
6944,2
6945,2
6946,3
803,2
6948,3
6949,3
6950,3
6951,7
6952,2
6953,1
6954,2
6955,2
6956,2
6958,1
6959,2
6960,1
6961,4
6962,3
6963,1
6965,2
6966,2
6967,2
6968,2
6969,4
2874,3
6971,3
6972,3
6973,2
6974,4
6975,3
6976,4
6977,3
6978,2
6979,1
2884,1
6981,4
6982,12
6983,1
6984,5
841,2
6986,3
6987,2
6988,2
6989,4
6993,1
6994,2
6995,1
4520,1
6997,2
6998,3
6999,2
7002,3
7003,3
7004,5
6970,6
7006,4
2533,1
7008,1
7009,4
7010,4
7011,3
7012,2
7013,1
7014,5
7015,3
7016,4
7017,2
2922,1
2923,1
7021,4
7022,2
7023,5
7024,1
7025,1
7026,2
7027,2
7028,2
7029,1
7030,1
7031,1
7033,2
7034,2
7035,7
7036,2
7037,2
7038,1
7039,1
7040,2
7041,2
7042,3
7043,2
7044,3
7045,1
7047,2
7048,1
7049,2
7051,2
7052,2
7053,11
7054,2
7055,2
7056,2
7057,1
7058,2
7059,6
7060,3
7061,7
7062,6
7063,7
7064,3
7065,2
7066,1
7067,3
7068,4
7069,7
7070,4
7071,3
7072,1
929,3
7074,3
7075,3
7078,5
7079,6
7080,2
7081,3
7082,2
7083,1
7084,3
7085,3
7086,2
7087,11
7088,3
7089,3
7090,2
7091,3
7092,1
7093,3
7094,3
6985,3
7096,1
7097,2
7099,4
7100,6
7101,8
7102,1
6645,2
7104,1
7105,3
7106,6
7107,5
7108,3
7109,3
7110,2
7111,4
3016,1
7113,9
7114,7
6647,2
7116,7
7117,4
7118,3
7119,3
7120,3
7121,1
5074,2
7123,4
7124,2
7125,2
7126,1
7127,3
7128,2
7129,4
7130,4
7131,3
7132,1
7133,7
7134,2
7135,1
7136,1
7137,5
7138,1
7139,1
7140,3
7141,1
7142,1
7143,7
7144,3
7145,1
7146,2
7147,2
7148,2
7149,3
7150,4
7151,2
7152,3
7153,2
7154,1
7155,1
7156,2
7157,1
7158,6
7159,1
6996,2
7162,4
7163,1
7164,1
7165,1
7166,1
7167,2
7168,2
7169,1
7170,1
7171,5
7174,2
7175,6
7176,3
7177,1
7178,1
7179,1
7180,2
7181,1
7182,2
7183,1
7184,2
7185,4
7186,2
5139,1
7188,1
7189,1
1046,1
7192,4
7193,2
7194,4
7195,1
7196,1
7197,3
7198,1
7199,3
7200,2
7201,2
7202,2
7203,5
7204,5
7205,1
7206,1
177,2
7005,4
3125,1
7007,2
6668,4
4674,1
1109,1
5211,1
1125,3
5223,1
5224,1
5247,1
537,1
1176,1
3225,1
3232,1
5282,3
4745,3
1199,3
1202,1
5313,1
887,3
2564,3
1238,2
6692,5
3292,3
6694,4
1256,3
5354,2
5355,2
4989,1
5363,3
5370,1
5371,2
5375,1
3328,1
5380,1
4994,1
4612,1
1308,2
3931,1
3373,1
1347,3
3407,3
5460,1
5471,1
1383,3
7115,5
3438,1
3440,1
5498,3
5506,3
5513,1
5517,1
3478,1
1437,3
2973,1
1267,3
5556,1
3509,1
3510,3
1466,1
3515,1
5567,1
7073,4
5571,1
2845,1
2977,1
5596,2
3549,1
5598,1
5599,1
5606,2
5609,2
5612,1
3566,1
5622,2
5623,3
5624,1
5625,1
6741,5
1545,1
1570,1
1599,1
5699,3
7095,2
5710,1
5719,2
5723,2
1633,1
3688,3
1642,3
5752,2
7103,1
4032,1
3715,1
3716,1
5772,2
3725,1
5776,3
1690,1
3750,3
6769,2
3753,1
6087,3
7112,1
3778,1
1731,3
3020,1
1740,3
3791,1
3796,1
5073,3
1772,1
7122,1
5078,2
2351,3
6790,2
3878,3
5930,2
