# Edges Betweenness Centrality, Cumulative Propability
0.000003,0.005693
0.000005,0.007590
0.000006,0.010436
0.000012,0.011385
0.000018,0.012334
0.000024,0.013283
0.000028,0.014231
0.000030,0.015180
0.000031,0.016129
0.000047,0.017078
0.000050,0.018027
0.000050,0.018975
0.000072,0.019924
0.000085,0.020873
0.000094,0.021822
0.000123,0.022770
0.000177,0.023719
0.000183,0.024668
0.000192,0.025617
0.000208,0.026565
0.000217,0.027514
0.000229,0.028463
0.000229,0.029412
0.000231,0.030361
0.000272,0.031309
0.000287,0.032258
0.000370,0.033207
0.000401,0.034156
0.000401,0.035104
0.000451,0.036053
0.000456,0.037002
0.000482,0.037951
0.000550,0.038899
0.000564,0.039848
0.000621,0.040797
0.000631,0.041746
0.000633,0.042694
0.000643,0.043643
0.000654,0.044592
0.000659,0.046490
0.000721,0.047438
0.000723,0.048387
0.000791,0.049336
0.000798,0.050285
0.000821,0.051233
0.000825,0.052182
0.000825,0.054080
0.000836,0.055028
0.000839,0.055977
0.000856,0.056926
0.000859,0.057875
0.000883,0.058824
0.000895,0.059772
0.000918,0.060721
0.000937,0.061670
0.000941,0.062619
0.000941,0.063567
0.000960,0.064516
0.000960,0.065465
0.000976,0.066414
0.000981,0.067362
0.000986,0.068311
0.000992,0.069260
0.001073,0.070209
0.001086,0.071157
0.001101,0.072106
0.001101,0.073055
0.001119,0.074004
0.001168,0.074953
0.001182,0.075901
0.001196,0.076850
0.001212,0.077799
0.001222,0.078748
0.001228,0.079696
0.001228,0.080645
0.001234,0.082543
0.001234,0.090133
0.001236,0.091082
0.001238,0.092030
0.001239,0.097723
0.001255,0.098672
0.001302,0.099620
0.001307,0.100569
0.001312,0.101518
0.001353,0.102467
0.001361,0.103416
0.001362,0.104364
0.001393,0.105313
0.001410,0.106262
0.001413,0.107211
0.001414,0.108159
0.001449,0.109108
0.001456,0.110057
0.001464,0.111006
0.001482,0.111954
0.001490,0.112903
0.001496,0.113852
0.001504,0.114801
0.001518,0.115750
0.001571,0.116698
0.001583,0.117647
0.001587,0.118596
0.001593,0.119545
0.001597,0.120493
0.001607,0.121442
0.001635,0.122391
0.001640,0.123340
0.001645,0.124288
0.001671,0.125237
0.001675,0.126186
0.001727,0.127135
0.001727,0.128083
0.001743,0.129032
0.001743,0.129981
0.001744,0.130930
0.001764,0.131879
0.001764,0.132827
0.001801,0.133776
0.001815,0.134725
0.001833,0.135674
0.001847,0.136622
0.001848,0.137571
0.001874,0.138520
0.001898,0.139469
0.001905,0.140417
0.001958,0.141366
0.001961,0.142315
0.001967,0.143264
0.001975,0.144213
0.001990,0.145161
0.002001,0.146110
0.002010,0.147059
0.002033,0.148008
0.002044,0.148956
0.002065,0.149905
0.002072,0.150854
0.002094,0.151803
0.002096,0.152751
0.002099,0.153700
0.002099,0.154649
0.002101,0.155598
0.002110,0.156546
0.002128,0.157495
0.002129,0.158444
0.002130,0.159393
0.002147,0.160342
0.002148,0.162239
0.002158,0.163188
0.002179,0.164137
0.002197,0.165085
0.002200,0.166034
0.002210,0.166983
0.002212,0.167932
0.002236,0.168880
0.002241,0.169829
0.002259,0.170778
0.002265,0.171727
0.002290,0.172676
0.002326,0.173624
0.002331,0.174573
0.002361,0.175522
0.002381,0.176471
0.002388,0.177419
0.002393,0.178368
0.002395,0.179317
0.002396,0.180266
0.002416,0.181214
0.002419,0.182163
0.002434,0.183112
0.002437,0.184061
0.002438,0.185009
0.002442,0.185958
0.002442,0.186907
0.002452,0.187856
0.002453,0.188805
0.002453,0.189753
0.002454,0.190702
0.002460,0.194497
0.002461,0.195446
0.002462,0.198292
0.002463,0.200190
0.002463,0.209677
0.002466,0.218216
0.002466,0.422201
0.002466,0.434535
0.002473,0.435484
0.002484,0.436433
0.002490,0.437381
0.002534,0.438330
0.002540,0.439279
0.002545,0.440228
0.002561,0.441176
0.002591,0.442125
0.002591,0.443074
0.002592,0.444023
0.002596,0.444972
0.002602,0.445920
0.002609,0.446869
0.002623,0.447818
0.002648,0.448767
0.002680,0.449715
0.002685,0.450664
0.002692,0.451613
0.002707,0.452562
0.002727,0.453510
0.002727,0.454459
0.002761,0.455408
0.002771,0.456357
0.002789,0.457306
0.002796,0.458254
0.002825,0.459203
0.002827,0.460152
0.002832,0.461101
0.002845,0.462049
0.002889,0.462998
0.002905,0.463947
0.002915,0.464896
0.002930,0.465844
0.002940,0.466793
0.002962,0.467742
0.002989,0.468691
0.002995,0.469639
0.003027,0.470588
0.003037,0.471537
0.003038,0.472486
0.003043,0.473435
0.003071,0.474383
0.003076,0.475332
0.003083,0.476281
0.003090,0.477230
0.003091,0.478178
0.003148,0.479127
0.003207,0.480076
0.003216,0.481025
0.003236,0.481973
0.003245,0.482922
0.003268,0.483871
0.003268,0.484820
0.003271,0.485769
0.003272,0.486717
0.003279,0.487666
0.003279,0.488615
0.003279,0.489564
0.003292,0.490512
0.003292,0.491461
0.003325,0.492410
0.003331,0.493359
0.003340,0.494307
0.003375,0.495256
0.003408,0.496205
0.003423,0.497154
0.003439,0.498102
0.003458,0.499051
0.003469,0.500000
0.003479,0.500949
0.003479,0.501898
0.003489,0.502846
0.003499,0.503795
0.003516,0.504744
0.003520,0.505693
0.003529,0.506641
0.003531,0.507590
0.003533,0.508539
0.003564,0.509488
0.003577,0.510436
0.003581,0.511385
0.003584,0.512334
0.003618,0.513283
0.003622,0.514231
0.003654,0.515180
0.003676,0.516129
0.003690,0.519924
0.003695,0.520873
0.003730,0.521822
0.003774,0.522770
0.003776,0.523719
0.003803,0.524668
0.003820,0.525617
0.003867,0.526565
0.003922,0.527514
0.003972,0.528463
0.003983,0.529412
0.003986,0.530361
0.004015,0.531309
0.004053,0.532258
0.004094,0.533207
0.004111,0.534156
0.004171,0.535104
0.004218,0.536053
0.004240,0.537002
0.004240,0.537951
0.004244,0.538899
0.004263,0.540797
0.004270,0.541746
0.004271,0.542694
0.004279,0.543643
0.004298,0.544592
0.004331,0.545541
0.004348,0.546490
0.004370,0.547438
0.004432,0.548387
0.004473,0.549336
0.004492,0.550285
0.004496,0.551233
0.004496,0.552182
0.004497,0.553131
0.004515,0.554080
0.004525,0.555028
0.004548,0.555977
0.004564,0.556926
0.004565,0.557875
0.004566,0.558824
0.004577,0.559772
0.004603,0.560721
0.004643,0.561670
0.004646,0.562619
0.004659,0.563567
0.004660,0.564516
0.004701,0.565465
0.004701,0.566414
0.004734,0.567362
0.004745,0.568311
0.004756,0.569260
0.004766,0.570209
0.004776,0.571157
0.004780,0.572106
0.004832,0.573055
0.004867,0.574004
0.004876,0.574953
0.004884,0.575901
0.004902,0.576850
0.004915,0.578748
0.004920,0.581594
0.004926,0.612903
0.004926,0.613852
0.004962,0.614801
0.004989,0.615750
0.004992,0.616698
0.004995,0.617647
0.005000,0.618596
0.005041,0.620493
0.005056,0.621442
0.005058,0.622391
0.005067,0.623340
0.005072,0.624288
0.005120,0.625237
0.005240,0.626186
0.005283,0.628083
0.005386,0.629032
0.005389,0.629981
0.005473,0.630930
0.005476,0.631879
0.005477,0.632827
0.005543,0.633776
0.005547,0.634725
0.005579,0.635674
0.005594,0.636622
0.005628,0.637571
0.005630,0.638520
0.005630,0.639469
0.005641,0.640417
0.005673,0.641366
0.005673,0.642315
0.005733,0.643264
0.005735,0.644213
0.005769,0.645161
0.005793,0.646110
0.005868,0.647059
0.006139,0.648008
0.006141,0.653700
0.006143,0.654649
0.006167,0.655598
0.006170,0.656546
0.006349,0.657495
0.006359,0.658444
0.006388,0.659393
0.006417,0.660342
0.006497,0.661290
0.006555,0.662239
0.006578,0.663188
0.006612,0.664137
0.006678,0.665085
0.006726,0.666034
0.006733,0.667932
0.006769,0.668880
0.006789,0.669829
0.006790,0.670778
0.006925,0.671727
0.007036,0.672676
0.007040,0.673624
0.007046,0.674573
0.007064,0.675522
0.007098,0.676471
0.007197,0.677419
0.007206,0.678368
0.007229,0.679317
0.007243,0.680266
0.007258,0.681214
0.007380,0.700190
0.007380,0.701139
0.007416,0.702087
0.007509,0.703036
0.007513,0.703985
0.007529,0.704934
0.007634,0.705882
0.007636,0.706831
0.007643,0.707780
0.007709,0.708729
0.007751,0.709677
0.007754,0.710626
0.007892,0.711575
0.007900,0.712524
0.007951,0.713472
0.008073,0.714421
0.008082,0.715370
0.008124,0.716319
0.008252,0.717268
0.008307,0.718216
0.008329,0.719165
0.008349,0.720114
0.008355,0.721063
0.008448,0.722011
0.008465,0.722960
0.008485,0.723909
0.008594,0.724858
0.008671,0.725806
0.008755,0.726755
0.008796,0.727704
0.008846,0.729602
0.008867,0.730550
0.008893,0.731499
