# Edges Betweenness Centrality, Cumulative Propability
0.000009,0.009631
0.000018,0.012841
0.000023,0.016051
0.000027,0.017657
0.000040,0.019262
0.000041,0.022472
0.000086,0.024077
0.000129,0.025682
0.000136,0.027287
0.000141,0.028892
0.000207,0.030498
0.000209,0.032103
0.000220,0.033708
0.000259,0.035313
0.000266,0.036918
0.000322,0.038523
0.000372,0.040128
0.000384,0.041734
0.000419,0.043339
0.000429,0.044944
0.000620,0.046549
0.000661,0.048154
0.000681,0.049759
0.000739,0.051364
0.000742,0.052970
0.000742,0.054575
0.000805,0.056180
0.000921,0.057785
0.000999,0.059390
0.001016,0.060995
0.001071,0.062600
0.001101,0.065811
0.001137,0.067416
0.001180,0.069021
0.001316,0.070626
0.001336,0.072231
0.001348,0.073836
0.001348,0.075441
0.001368,0.078652
0.001379,0.080257
0.001396,0.081862
0.001402,0.083467
0.001413,0.085072
0.001434,0.086677
0.001450,0.088283
0.001468,0.089888
0.001483,0.091493
0.001486,0.093098
0.001533,0.094703
0.001583,0.096308
0.001602,0.097913
0.001606,0.099518
0.001631,0.101124
0.001717,0.102729
0.001718,0.104334
0.001783,0.105939
0.001808,0.107544
0.001818,0.109149
0.001865,0.110754
0.001906,0.112360
0.001913,0.113965
0.002025,0.115570
0.002136,0.117175
0.002140,0.120385
0.002157,0.123596
0.002174,0.125201
0.002174,0.126806
0.002196,0.130016
0.002216,0.131621
0.002248,0.133226
0.002290,0.134831
0.002304,0.136437
0.002368,0.138042
0.002376,0.139647
0.002408,0.141252
0.002409,0.142857
0.002434,0.144462
0.002437,0.146067
0.002465,0.147673
0.002500,0.149278
0.002545,0.150883
0.002555,0.152488
0.002557,0.154093
0.002582,0.155698
0.002594,0.157303
0.002611,0.158909
0.002611,0.160514
0.002643,0.162119
0.002703,0.163724
0.002730,0.165329
0.002740,0.166934
0.002744,0.168539
0.002764,0.170144
0.002788,0.171750
0.002839,0.173355
0.002861,0.174960
0.002958,0.176565
0.003032,0.178170
0.003073,0.179775
0.003097,0.181380
0.003109,0.182986
0.003120,0.184591
0.003172,0.187801
0.003258,0.189406
0.003312,0.191011
0.003316,0.192616
0.003337,0.194222
0.003439,0.195827
0.003468,0.197432
0.003509,0.199037
0.003533,0.200642
0.003534,0.202247
0.003592,0.203852
0.003614,0.205457
0.003616,0.207063
0.003699,0.208668
0.003722,0.210273
0.003797,0.211878
0.003875,0.213483
0.003892,0.216693
0.003901,0.218299
0.003909,0.219904
0.003952,0.221509
0.003985,0.223114
0.004053,0.224719
0.004065,0.226324
0.004091,0.227929
0.004093,0.229535
0.004111,0.231140
0.004111,0.232745
0.004128,0.234350
0.004132,0.235955
0.004138,0.237560
0.004187,0.239165
0.004232,0.242376
0.004234,0.243981
0.004246,0.245586
0.004251,0.248796
0.004255,0.252006
0.004256,0.253612
0.004264,0.269663
0.004274,0.505618
0.004274,0.516854
0.004296,0.518459
0.004412,0.521669
0.004446,0.524880
0.004463,0.526485
0.004469,0.528090
0.004474,0.529695
0.004504,0.532905
0.004528,0.534510
0.004535,0.536116
0.004544,0.537721
0.004548,0.539326
0.004713,0.540931
0.004753,0.544141
0.004882,0.545746
0.004933,0.547352
