# Edges Betweenness Centrality,Propability
0.000003,0.005693
0.000005,0.001898
0.000006,0.002846
0.000012,0.000949
0.000018,0.000949
0.000024,0.000949
0.000028,0.000949
0.000030,0.000949
0.000031,0.000949
0.000047,0.000949
0.000050,0.000949
0.000050,0.000949
0.000072,0.000949
0.000085,0.000949
0.000094,0.000949
0.000123,0.000949
0.000177,0.000949
0.000183,0.000949
0.000192,0.000949
0.000208,0.000949
0.000217,0.000949
0.000229,0.000949
0.000229,0.000949
0.000231,0.000949
0.000272,0.000949
0.000287,0.000949
0.000370,0.000949
0.000401,0.000949
0.000401,0.000949
0.000451,0.000949
0.000456,0.000949
0.000482,0.000949
0.000550,0.000949
0.000564,0.000949
0.000621,0.000949
0.000631,0.000949
0.000633,0.000949
0.000643,0.000949
0.000654,0.000949
0.000659,0.001898
0.000721,0.000949
0.000723,0.000949
0.000791,0.000949
0.000798,0.000949
0.000821,0.000949
0.000825,0.000949
0.000825,0.001898
0.000836,0.000949
0.000839,0.000949
0.000856,0.000949
0.000859,0.000949
0.000883,0.000949
0.000895,0.000949
0.000918,0.000949
0.000937,0.000949
0.000941,0.000949
0.000941,0.000949
0.000960,0.000949
0.000960,0.000949
0.000976,0.000949
0.000981,0.000949
0.000986,0.000949
0.000992,0.000949
0.001073,0.000949
0.001086,0.000949
0.001101,0.000949
0.001101,0.000949
0.001119,0.000949
0.001168,0.000949
0.001182,0.000949
0.001196,0.000949
0.001212,0.000949
0.001222,0.000949
0.001228,0.000949
0.001228,0.000949
0.001234,0.001898
0.001234,0.007590
0.001236,0.000949
0.001238,0.000949
0.001239,0.005693
0.001255,0.000949
0.001302,0.000949
0.001307,0.000949
0.001312,0.000949
0.001353,0.000949
0.001361,0.000949
0.001362,0.000949
0.001393,0.000949
0.001410,0.000949
0.001413,0.000949
0.001414,0.000949
0.001449,0.000949
0.001456,0.000949
0.001464,0.000949
0.001482,0.000949
0.001490,0.000949
0.001496,0.000949
0.001504,0.000949
0.001518,0.000949
0.001571,0.000949
0.001583,0.000949
0.001587,0.000949
0.001593,0.000949
0.001597,0.000949
0.001607,0.000949
0.001635,0.000949
0.001640,0.000949
0.001645,0.000949
0.001671,0.000949
0.001675,0.000949
0.001727,0.000949
0.001727,0.000949
0.001743,0.000949
0.001743,0.000949
0.001744,0.000949
0.001764,0.000949
0.001764,0.000949
0.001801,0.000949
0.001815,0.000949
0.001833,0.000949
0.001847,0.000949
0.001848,0.000949
0.001874,0.000949
0.001898,0.000949
0.001905,0.000949
0.001958,0.000949
0.001961,0.000949
0.001967,0.000949
0.001975,0.000949
0.001990,0.000949
0.002001,0.000949
0.002010,0.000949
0.002033,0.000949
0.002044,0.000949
0.002065,0.000949
0.002072,0.000949
0.002094,0.000949
0.002096,0.000949
0.002099,0.000949
0.002099,0.000949
0.002101,0.000949
0.002110,0.000949
0.002128,0.000949
0.002129,0.000949
0.002130,0.000949
0.002147,0.000949
0.002148,0.001898
0.002158,0.000949
0.002179,0.000949
0.002197,0.000949
0.002200,0.000949
0.002210,0.000949
0.002212,0.000949
0.002236,0.000949
0.002241,0.000949
0.002259,0.000949
0.002265,0.000949
0.002290,0.000949
0.002326,0.000949
0.002331,0.000949
0.002361,0.000949
0.002381,0.000949
0.002388,0.000949
0.002393,0.000949
0.002395,0.000949
0.002396,0.000949
0.002416,0.000949
0.002419,0.000949
0.002434,0.000949
0.002437,0.000949
0.002438,0.000949
0.002442,0.000949
0.002442,0.000949
0.002452,0.000949
0.002453,0.000949
0.002453,0.000949
0.002454,0.000949
0.002460,0.003795
0.002461,0.000949
0.002462,0.002846
0.002463,0.001898
0.002463,0.009488
0.002466,0.008539
0.002466,0.203985
0.002466,0.012334
0.002473,0.000949
0.002484,0.000949
0.002490,0.000949
0.002534,0.000949
0.002540,0.000949
0.002545,0.000949
0.002561,0.000949
0.002591,0.000949
0.002591,0.000949
0.002592,0.000949
0.002596,0.000949
0.002602,0.000949
0.002609,0.000949
0.002623,0.000949
0.002648,0.000949
0.002680,0.000949
0.002685,0.000949
0.002692,0.000949
0.002707,0.000949
0.002727,0.000949
0.002727,0.000949
0.002761,0.000949
0.002771,0.000949
0.002789,0.000949
0.002796,0.000949
0.002825,0.000949
0.002827,0.000949
0.002832,0.000949
0.002845,0.000949
0.002889,0.000949
0.002905,0.000949
0.002915,0.000949
0.002930,0.000949
0.002940,0.000949
0.002962,0.000949
0.002989,0.000949
0.002995,0.000949
0.003027,0.000949
0.003037,0.000949
0.003038,0.000949
0.003043,0.000949
0.003071,0.000949
0.003076,0.000949
0.003083,0.000949
0.003090,0.000949
0.003091,0.000949
0.003148,0.000949
0.003207,0.000949
0.003216,0.000949
0.003236,0.000949
0.003245,0.000949
0.003268,0.000949
0.003268,0.000949
0.003271,0.000949
0.003272,0.000949
0.003279,0.000949
0.003279,0.000949
0.003279,0.000949
0.003292,0.000949
0.003292,0.000949
0.003325,0.000949
0.003331,0.000949
0.003340,0.000949
0.003375,0.000949
0.003408,0.000949
0.003423,0.000949
0.003439,0.000949
0.003458,0.000949
0.003469,0.000949
0.003479,0.000949
0.003479,0.000949
0.003489,0.000949
0.003499,0.000949
0.003516,0.000949
0.003520,0.000949
