edge,bet_cen_edge
'(145, 146)',0.004273504273504273
'(232, 315)',0.036669588692923985
'(89, 185)',8.601914383498965e-05
'(207, 445)',0.005636530770363743
'(9, 29)',0.0027437270477955657
'(338, 350)',0.009710652137280182
'(12, 17)',0.004273504273504273
'(5, 29)',0.005946036674088059
'(86, 445)',0.0083234333354238
'(144, 457)',0.0067947397258878075
'(382, 383)',0.004273504273504273
'(246, 397)',0.00852870660151174
'(165, 473)',0.02457002815814124
'(104, 170)',0.004273504273504274
'(3, 481)',0.005281356799503176
'(224, 229)',0.00852870660151174
'(61, 67)',0.006084760072982745
'(299, 482)',0.0016020302958204456
'(184, 463)',0.005912844344902244
'(68, 69)',0.23157692038234473
'(107, 449)',0.00118023581621012
'(270, 271)',0.004273504273504273
'(104, 139)',0.010666931682241101
'(10, 12)',0.021311785474458646
'(110, 111)',0.006182738527686176
'(81, 428)',0.004273504273504273
'(233, 319)',0.004972943623907221
'(279, 344)',0.004273504273504273
'(134, 471)',0.0013481191788492324
'(15, 337)',0.004091245622640249
'(32, 442)',0.006372127357138064
'(37, 75)',0.0017165336580040366
'(52, 53)',0.004053118346480228
'(107, 108)',0.004273504273504273
'(284, 518)',0.004273504273504273
'(165, 249)',0.004273504273504273
'(6, 226)',0.003534149251494004
'(165, 458)',0.009909326057699503
'(52, 367)',0.006965720456084481
'(236, 264)',0.0033115191573435676
'(35, 36)',0.004273504273504273
'(110, 157)',0.048851700905232484
'(5, 298)',0.00555891091222997
'(37, 38)',0.015643726564497442
'(282, 1481)',0.005508668640011169
'(123, 173)',0.10351574865306692
'(332, 338)',0.010327637104593656
'(231, 368)',0.004273504273504273
'(199, 462)',0.004273504273504273
'(311, 312)',0.007696977727262986
'(123, 131)',0.028666297964985505
'(27, 415)',0.00426435330075587
'(87, 112)',0.048501051567814354
'(159, 221)',0.09788118621683636
'(100, 356)',0.00426435330075587
'(78, 293)',0.004273504273504273
'(147, 204)',0.004273504273504273
'(23, 28)',0.001905835734694248
'(125, 364)',0.004273504273504273
'(112, 448)',0.0040929944034869175
'(105, 172)',0.028499789527626797
'(31, 51)',0.09168335572982393
'(466, 467)',0.004273504273504273
'(78, 279)',0.055237847377847
'(30, 201)',0.03543150820503175
'(86, 94)',0.012980582680868775
'(247, 484)',0.007414575669393656
'(106, 107)',0.0460616048335271
'(15, 354)',0.004273504273504273
'(56, 422)',0.004273504273504273
'(256, 371)',0.004273504273504273
'(106, 140)',0.019323234445555094
'(479, 480)',0.004273504273504273
'(308, 382)',0.029270227165024885
'(8, 9)',0.005608591582895661
'(136, 478)',0.0051413813310461805
'(117, 133)',0.002642587010895362
'(52, 57)',0.008510404656014934
'(123, 1480)',0.0016058783971813122
'(117, 465)',0.005040784961660902
'(78, 294)',0.0021565792443736767
'(39, 41)',0.004273504273504273
'(104, 172)',0.0013964384414063208
'(165, 167)',0.00852870660151174
'(51, 302)',0.08440528207059397
'(226, 480)',0.0007393550220102692
'(100, 355)',0.00426435330075587
'(468, 469)',0.004273504273504273
'(281, 345)',0.004273504273504273
'(89, 175)',0.00441163019439719
'(53, 231)',0.00022038592702404276
'(483, 484)',0.004273504273504273
'(80, 291)',0.004273504273504273
'(298, 482)',0.001367765393461325
'(464, 465)',0.0021398024610016038
'(117, 119)',0.02932042453984659
'(231, 362)',0.005951749099500706
'(275, 496)',0.004273504273504273
'(161, 270)',0.00852870660151174
'(464, 471)',0.0021398024610016038
'(1481, 1482)',0.004273504273504273
'(116, 267)',0.004273504273504273
'(90, 470)',0.011753324030781184
'(331, 332)',0.004273504273504273
'(124, 454)',0.0014495841996291304
'(79, 81)',0.0031089667331637354
'(47, 348)',0.00041900363099506554
'(60, 159)',0.00711119220219859
'(100, 212)',0.0011014720864827908
