node,clustering_coefficient
6144,0.0
4098,0.0
5,0.0
17,0.0
4115,0.0
2071,0.0
6175,0.0
6182,0.0
2737,0.0
6835,0.0
4149,0.0
2102,0.0
56,0.0
2116,0.0
2123,0.0
4174,0.0
6097,0.0
4181,0.0
4188,0.0
2144,0.3333333333333333
2551,0.0
108,0.0
6263,0.0
122,0.0
4220,0.0
2187,0.0
2756,0.0
5597,0.0
173,0.0
2225,0.0
3103,0.0
203,0.0
206,0.0
2766,0.0
6367,1.0
2274,0.0
4326,0.0
6383,0.0
4337,0.0
2771,0.0
6388,0.0
246,0.0
248,0.0
6394,0.0
6395,0.0
4349,0.0
4350,0.0
4351,0.0
6404,0.6666666666666666
2327,0.0
4378,0.0
6429,0.0
290,0.0
294,0.0
6447,0.0
6460,0.0
6463,1.0
6464,1.0
6198,0.0
1421,0.0
340,0.0
4438,0.0
4449,0.0
4453,0.0
6504,0.0
6888,0.0
2422,0.0
6889,0.0
6892,1.0
4493,0.3333333333333333
2457,0.3333333333333333
6555,0.0
6556,0.0
6558,0.0
6559,1.0
6562,1.0
6563,1.0
6564,1.0
6566,0.0
6568,0.0
427,0.0
3485,0.0
2481,0.0
4538,0.0
449,0.3333333333333333
2498,0.0
424,0.0
452,0.0
6597,0.0
6599,0.0
457,0.0
2506,0.0
469,0.0
470,0.0
6624,1.0
6625,0.0
6626,0.0
6627,0.0
6628,0.0
6629,1.0
6630,0.0
6631,0.0
6632,0.0
6633,1.0
6634,0.027777777777777776
6635,0.0
6636,0.0
6637,0.3333333333333333
6638,0.09523809523809523
6639,0.09523809523809523
6640,0.16666666666666666
6641,0.0
6642,0.0
6643,0.0
6644,0.1
4597,0.0
6646,0.0
4599,0.0
6648,0.0
6649,0.3333333333333333
6650,0.16666666666666666
6651,0.0
6652,0.06666666666666667
6653,0.0
6654,0.01818181818181818
6655,0.0
6656,0.0
6657,0.07142857142857142
6658,0.16666666666666666
6659,0.1
6660,0.044444444444444446
6661,0.0
6662,0.0
6663,0.0
6664,0.0
6665,0.3333333333333333
6666,0.13333333333333333
6667,0.2
4620,0.0
6669,0.1
6670,0.0
6671,0.0
6672,0.0
6673,0.0
6674,0.0
6676,0.0
6677,0.0
6678,0.0
6679,0.0
6680,0.0
6681,0.0
6682,0.0
6683,0.0
6684,0.0
6685,0.3
6686,0.0
6687,0.0
6688,0.0
6689,0.0
6690,0.0
6691,0.0
4644,0.0
6693,0.1
4646,0.0
6696,0.0
6697,0.0
6698,0.0
6699,0.0
6700,0.1
6701,0.0
6702,0.0
6703,0.0
6704,0.0
6705,0.0
6706,0.0
6707,0.0
6708,0.0
6709,0.0
6710,0.0
6711,1.0
6712,0.0
6713,0.0
