node,degree
1,1
2,5
3,5
4,5
5,8
6,5
7,2
8,4
9,2
10,7
11,2
12,7
13,5
14,4
15,5
16,2
17,1
19,2
20,3
21,3
22,2
23,6
24,4
25,2
26,2
27,5
28,2
29,2
30,5
31,4
32,8
33,2
34,4
35,2
36,1
37,9
38,3
39,3
40,1
41,1
42,9
43,1
44,3
45,4
46,4
47,3
48,1
49,3
50,1
51,3
52,13
53,2
54,2
55,1
56,6
57,3
58,2
59,2
60,3
61,5
62,2
63,2
64,1
66,2
67,2
68,6
69,8
70,3
71,1
72,4
73,1
74,6
75,2
76,2
77,2
78,7
79,2
80,4
81,5
82,1
83,3
84,1
85,2
86,12
87,10
88,2
89,6
90,2
91,1
92,1
93,1
94,4
95,6
96,1
98,2
99,6
100,7
101,2
102,2
103,2
104,7
105,9
106,5
107,7
108,1
109,3
110,8
111,3
112,6
113,2
114,2
115,3
116,3
117,11
118,2
119,7
120,7
121,2
122,1
123,12
124,3
125,11
126,2
127,1
129,7
130,2
131,3
132,2
133,2
134,6
135,2
136,2
137,1
138,2
139,4
140,6
141,3
142,2
143,1
144,5
145,2
146,1
147,4
148,1
149,4
150,3
151,3
153,2
154,2
155,1
156,1
157,3
158,1
159,3
160,2
161,6
162,1
163,2
164,1
165,13
166,1
167,2
168,2
169,1
170,1
171,1
172,3
173,3
174,1
175,2
176,2
177,2
178,1
179,2
180,2
181,4
183,2
184,7
185,2
186,2
187,3
188,1
189,2
190,2
191,5
192,1
193,2
195,2
196,1
197,2
198,1
199,1
200,1
201,5
202,1
204,1
205,1
206,1
207,3
208,3
209,3
210,2
211,2
212,2
213,3
214,2
215,3
216,4
217,1
218,2
219,2
220,7
221,4
223,2
224,4
225,3
226,2
227,5
228,1
229,2
230,3
231,6
232,4
233,5
234,2
235,5
236,2
238,2
239,2
240,1
241,2
242,1
245,2
246,6
247,3
248,1
249,1
250,1
251,1
252,1
253,2
254,2
255,1
256,4
258,2
259,2
260,2
261,6
264,3
265,3
266,1
267,1
268,1
269,1
270,2
271,1
272,1
275,1
276,1
277,1
278,1
279,9
280,5
281,4
282,6
284,1
285,1
286,2
287,1
288,3
289,1
290,3
291,1
292,2
293,1
294,3
295,1
296,1
297,5
298,2
299,4
300,1
301,2
302,2
303,3
304,2
305,1
306,2
307,6
308,6
309,2
310,1
311,3
312,3
314,4
315,5
316,2
318,1
319,2
320,3
322,2
323,1
324,1
326,3
327,2
329,1
330,2
331,1
332,3
334,5
335,2
336,3
337,2
338,5
339,1
341,2
342,3
343,1
344,1
345,1
346,2
347,2
348,2
349,3
350,3
351,1
352,2
353,3
354,1
355,2
356,2
360,1
362,5
363,1
364,1
366,2
367,2
368,1
369,2
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,2
379,2
380,1
381,1
382,3
383,1
384,6
385,4
386,2
387,4
388,1
389,2
390,2
391,2
392,1
393,2
394,2
396,1
397,2
398,1
399,1
400,2
401,2
402,2
403,3
406,2
409,2
410,1
411,1
412,1
413,2
414,2
415,2
419,1
420,1
421,3
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
433,1
435,3
438,1
439,3
440,3
441,1
442,3
443,1
444,3
445,3
446,1
447,3
448,3
449,3
450,2
451,3
452,1
453,3
454,3
455,1
457,3
458,3
459,1
460,3
461,1
462,4
463,3
464,2
465,3
466,1
467,3
468,1
469,3
470,3
471,3
472,1
473,3
474,1
475,3
476,1
477,3
478,3
479,1
480,4
481,3
482,3
483,1
484,3
485,1
486,1
487,3
488,3
489,1
490,3
491,3
492,1
493,1
494,3
496,6
497,1
502,1
503,1
504,1
506,2
507,1
517,1
518,3
519,1
520,1
521,3
522,1
523,3
1480,3
1481,4
1482,1
1483,1
1484,1
