v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326,wkt_srid_3857,degree,betweenness_centrality_node,clustering_coefficient
1,9.52257601112577,52.3604090734199,substation,220000;110000,50,Hannover/West,TenneT;EON_Netz,,SRID=4326;POINT(9.52257601112577 52.3604090734199),SRID=3857;POINT(1060048.31259876 6865556.22418931),1,0.0,0.0
2,9.11321011483187,52.5438533448625,substation,220000,50,Umspannwerk Kraftwerk Robert Frank,TenneT,,SRID=4326;POINT(9.11321011483187 52.5438533448625),SRID=3857;POINT(1014477.90947519 6899064.84850782),5,0.04193618992375546,0.2
3,9.38974515063535,52.0263130791669,substation,380000;110000,50,UW Grohnde 380 kV / 110 kV,TenneT,,SRID=4326;POINT(9.38974515063535 52.0263130791669),SRID=3857;POINT(1045261.64884734 6804884.59563129),5,0.0871023542781909,0.1
4,9.12526574244048,52.5382641233458,substation,380000;220000,50,Landesbergen,TenneT TSO GmbH,,SRID=4326;POINT(9.12526574244048 52.5382641233458),SRID=3857;POINT(1015819.93580178 6898041.83516777),5,0.10800026477044401,0.1
5,10.366274939217,52.2846467643429,substation,380000;220000,50,Wahle,TenneT,,SRID=4326;POINT(10.366274939217 52.2846467643429),SRID=3857;POINT(1153968.44765671 6851757.78665374),8,0.07046786968095473,0.0
195,6.68310699520914,51.5756455198898,substation,220000,,Station Möllen,,,SRID=4326;POINT(6.68310699520914 51.5756455198898),SRID=3857;POINT(743960.067623645 6723757.43057198),2,0.0,1.0
6,9.91814868636922,52.3799963374107,substation,220000;110000,50,TenneT TSO GmbH - Betriebszentrum Lehrte,TenneT_TSO,,SRID=4326;POINT(9.91814868636922 52.3799963374107),SRID=3857;POINT(1104083.2613786 6869127.46138821),5,0.044470192744723816,0.1
7,9.9171797569037,52.2781686248742,substation,380000;110000,50,Algermissen,TenneT,,SRID=4326;POINT(9.9171797569037 52.2781686248742),SRID=3857;POINT(1103975.40064388 6850579.03161219),2,0.014146535748212037,0.0
8,10.4149924241538,53.4126068813272,substation,380000;110000,,Krümmel,50Hertz,,SRID=4326;POINT(10.4149924241538 53.4126068813272),SRID=3857;POINT(1159391.6532726 7059686.71558061),4,0.08305169624276336,0.0
9,10.3787706356666,53.2197927695925,substation,380000;110000,50,Lüneburg,EON_Netz,LUEN,SRID=4326;POINT(10.3787706356666 53.2197927695925),SRID=3857;POINT(1155359.46222259 7023757.56958405),2,0.0020481599991024556,0.0
10,12.9416466491702,52.5621144028949,substation,380000;220000;110000,,Wustermark,50Hertz Transmission GmbH;E.ON edis AG,Wu,SRID=4326;POINT(12.9416466491702 52.5621144028949),SRID=3857;POINT(1440657.5150121 6902408.13750346),7,0.04906385131061886,0.14285714285714285
11,13.2061030014846,52.6571363047161,substation,220000,50,Hennigsdorf,50Hertz Transmission,,SRID=4326;POINT(13.2061030014846 52.6571363047161),SRID=3857;POINT(1470096.66148879 6919827.53301598),2,0.0,1.0
12,13.709669749528,52.5397952998981,substation,380000;220000;110000,50,Neuenhagen,50Hertz Transmission GmbH,NHG TCC,SRID=4326;POINT(13.709669749528 52.5397952998981),SRID=3857;POINT(1526153.4554614 6898322.07842467),7,0.023638481365941006,0.047619047619047616
13,11.3704263094168,48.2914922548393,substation,380000;220000;110000,,Umspannwerk Oberbachern,TenneT TSO GmbH;E.ON Netz GmbH,OBA,SRID=4326;POINT(11.3704263094168 48.2914922548393),SRID=3857;POINT(1265750.06686672 6155486.48990499),5,0.02990184105104501,0.1
14,11.8132329291411,48.2212664672329,substation,220000;110000,,Umspannwerk Neufinsing,'TenneT TSO GmbH, E.ON Netz GmbH',NFI,SRID=4326;POINT(11.8132329291411 48.2212664672329),SRID=3857;POINT(1315043.07429432 6143744.95020879),4,0.004628821228245919,0.16666666666666666
15,11.868156362746,48.206802931481,substation,380000;220000,50,Umspannwerk Ottenhofen,TenneT TSO GmbH,OH,SRID=4326;POINT(11.868156362746 48.206802931481),SRID=3857;POINT(1321157.12295583 6141328.69174797),5,0.02702045440817106,0.1
16,10.7610404155909,52.3677293936344,substation,380000,50,Umspannwerk Hattorf,EON_Netz,,SRID=4326;POINT(10.7610404155909 52.3677293936344),SRID=3857;POINT(1197913.53946942 6866890.71225085),2,0.061229348350595326,0.0
17,13.4947634286677,52.5897644694349,substation,380000;110000,50,Umspannwerk Malchow,50Hertz;Stromnetz Berlin,MOW,SRID=4326;POINT(13.4947634286677 52.5897644694349),SRID=3857;POINT(1502230.19325498 6907473.0443696),1,0.0,0.0
19,11.2939727766244,48.0520427780619,substation,220000;110000,,Umspannwerk Oberbrunn,'TenneT TSO GmbH, E.ON Netz GmbH',OBR,SRID=4326;POINT(11.2939727766244 48.0520427780619),SRID=3857;POINT(1257239.29852692 6115517.27000577),2,0.004282655246252677,0.0
20,9.98460987842098,53.7411288196703,substation,380000;220000;110000,50,Umspannwerk Hamburg-Nord,50Hertz Transmission,,SRID=4326;POINT(9.98460987842098 53.7411288196703),SRID=3857;POINT(1111481.68743531 7121280.83921189),3,0.0338554705167456,0.0
21,10.1575057595216,53.5551266364644,substation,380000;110000,50,Umspannwerk Hamburg/Ost,50Hertz Transmission;Stromnetz Hamburg GmbH,,SRID=4326;POINT(10.1575057595216 53.5551266364644),SRID=3857;POINT(1130728.36887969 7086348.79316402),3,0.08071458004512175,0.0
