branch_id,v_id1,eq_no_id1,v_id2,eq_no_id2,wkt_srid_3857
137,16119,no equal node id,75434,117,'SRID=3857;LINESTRING(782627.728112614 6577466.91989543,776199.994193975 6585239.84347261)'
799,16475,no equal node id,24405,169,'SRID=3857;LINESTRING(773401.295565075 6710001.83537746,775601.054808711 6708586.11444056)'
3666,16364,147,34417,no equal node id,'SRID=3857;LINESTRING(835551.240427385 6692647.11224345,835854.057556746 6692991.62820448)'
4398,75637,391,75883,no equal node id,'SRID=3857;LINESTRING(997280.592395642 6460596.77455579,996266.980028704 6461685.58117272)'
4399,75637,391,75883,no equal node id,'SRID=3857;LINESTRING(997280.592395642 6460596.77455579,996266.980028704 6461685.58117272)'
4419,75586,252,76125,198,'SRID=3857;LINESTRING(858924.204926031 6741513.48621971,887366.609359233 6742134.86767187)'
5443,17673,270,75453,161,'SRID=3857;LINESTRING(804198.238574318 7047993.57607284,896482.624850847 7044910.2057411)'
5647,75667,267,16692,151,'SRID=3857;LINESTRING(757121.388257759 6643229.24488189,746925.89966426 6637395.02330591)'
13663,75535,258,18447,259,'SRID=3857;LINESTRING(1100154.18993135 6712993.7306987,1096647.69327756 6736936.25082008)'
13670,26222,286,75535,258,'SRID=3857;LINESTRING(1065002.90352859 6679027.42184506,1100154.18993135 6712993.7306987)'
15449,18666,no equal node id,20550,no equal node id,'SRID=3857;LINESTRING(1149032.88154253 6054272.86505043,1148721.67868255 6054234.67984087)'
17528,24959,422,29975,56,'SRID=3857;LINESTRING(964450.31425941 6336182.01698597,959930.039628506 6335599.18193787)'
22323,18369,no equal node id,77971,no equal node id,'SRID=3857;LINESTRING(780664.090683571 6553961.06384428,780251.899123694 6555184.34276213)'
37194,21057,425,16727,297,'SRID=3857;LINESTRING(1159996.86708368 6830055.34414387,1154297.50392255 6830394.60758185)'
37197,16727,297,24507,426,'SRID=3857;LINESTRING(1154297.50392255 6830394.60758185,1156439.20010588 6827540.34481732)'
41948,75637,391,75883,no equal node id,'SRID=3857;LINESTRING(997280.592395642 6460596.77455579,996266.980028704 6461685.58117272)'
42819,24583,52,28637,no equal node id,'SRID=3857;LINESTRING(925456.78449368 6276390.20663286,925689.734057778 6275942.2075527)'
49696,24583,52,28637,no equal node id,'SRID=3857;LINESTRING(925456.78449368 6276390.20663286,925689.734057778 6275942.2075527)'
54320,17259,424,24583,52,'SRID=3857;LINESTRING(929419.400465945 6277076.04820238,925456.78449368 6276390.20663286)'
81063,24365,69,58158,no equal node id,'SRID=3857;LINESTRING(937241.648305989 6383095.94015066,936922.660000002 6382280.89)'
81392,55160,no equal node id,55254,no equal node id,'SRID=3857;LINESTRING(813769 6884528.43,813939.829999999 6885054.76)'
81613,52124,no equal node id,71230,no equal node id,'SRID=3857;LINESTRING(1371966.16 6655663.31,1372020.99 6655855.4)'
81614,71230,no equal node id,71234,no equal node id,'SRID=3857;LINESTRING(1372020.99 6655855.4,1372025.74 6655866.01)'
81615,71234,no equal node id,71235,no equal node id,'SRID=3857;LINESTRING(1372025.74 6655866.01,1372030.34 6655876.27000001)'
81652,58126,no equal node id,58128,no equal node id,'SRID=3857;LINESTRING(995715.62 6372191.6,995676.46 6372583.66999999)'
81733,16118,149,51960,no equal node id,'SRID=3857;LINESTRING(800735.430260499 6585686.72805591,797401.56 6585548.54999999)'
81904,17776,193,54012,no equal node id,'SRID=3857;LINESTRING(748342.782939984 6706608.65548859,748630.02 6706330.55)'
