'id','geom','v_id','lon','lat','typ','voltage','frequency','name','operator','ref','wkt_srid_4326','wkt_srid_3857'
1,'0101000020E6100000973DFE0C7AB01F40F707558F903D4840',3731,7.9223405867,48.4809741178,'substation','220000','','In der Spöck','E-Werk Mittelbaden AG','','SRID=4326;POINT(7.92234058667909 48.4809741177741)','SRID=3857;POINT(881910.920000001 6187248.08)'
2,'0101000020E61000000F8C08E61E181C403856AC07E07F4940',16689,7.0235553687,50.9990243522,'substation','220000','50','Station Dünnwald','','','SRID=4326;POINT(7.02355536868255 50.9990243522156)','SRID=3857;POINT(781858.607200105 6621121.14375783)'
3,'0101000020E6100000D55C02B2A7FB2240127D342F3CD44A40',17295,9.491513789,53.658086682,'substation','220000','50','Abbenfleth','TenneT','','SRID=4326;POINT(9.49151378897515 53.658086681966)','SRID=3857;POINT(1056590.48184605 7105666.10888172)'
4,'0101000020E61000006D0D53B1B0E91A40FB55860672BE4940',17777,6.7282130916,51.4878547817,'substation','220000','50','','','','SRID=4326;POINT(6.72821309155857 51.487854781717)','SRID=3857;POINT(748981.255300937 6708047.53683189)'
5,'0101000020E61000001504E6E074201C40D0D5EC0D02CE4940',18022,7.0316958561,51.6094376952,'substation','220000','','Station Bellendorf','RWE','','SRID=4326;POINT(7.03169585613161 51.609437695162)','SRID=3857;POINT(782764.802117743 6729812.52793499)'
6,'0101000020E6100000E26A9682B6CC2A4066D2487FB0E54A40',18112,13.3998299416,53.7944487672,'substation','220000','50','Umspannwerk Windpark Iven','50Hertz Transmission','','SRID=4326;POINT(13.3998299416175 53.7944487672401)','SRID=3857;POINT(1491662.24581732 7131323.06512948)'
7,'0101000020E61000002A36ADF4A54228401A4E7372E3F44740',19856,12.130172392,47.9131911338,'substation','220000','','Umspannwerk Marienberg','Tennet TSO GmbH, E.ON Netz GmbH','','SRID=4326;POINT(12.1301723920288 47.9131911337865)','SRID=3857;POINT(1350324.61391527 6092425.06416679)'
8,'0101000020E6100000001F6E98A3051B404F3C72CFB3AE4840',20051,6.7555068795,49.364862376,'substation','220000','50','Dieffeln','VSE','','SRID=4326;POINT(6.75550687954069 49.3648623760024)','SRID=3857;POINT(752019.585880927 6336999.20348459)'
9,'0101000020E6100000B1889D5922D81840D29255F4B3FA4840',20444,6.2110685351,49.9586167734,'substation','220000','50','SA Bauler','Amprion','','SRID=4326;POINT(6.21106853508006 49.9586167733993)','SRID=3857;POINT(691412.986607235 6439112.07728683)'
10,'0101000020E61000004152E3B1B3FF1A406B6E411BBEAE4840',20522,6.749708919,49.365176589,'substation','220000','50','UA Obergraben','Amprion','','SRID=4326;POINT(6.74970891904792 49.3651765889634)','SRID=3857;POINT(751374.159871231 6337052.9135654)'
